complexity,length,reward,rmse,r2,expression,expression_prefix
4,4,0.767168402671814,0.2844769612763079,0.9078909250510132,(x1/((x1)**(0.5))),[div x1 sqrt x1]
5,5,0.8065487742424011,0.22482093014526627,0.9424716787799323,(x1/sin(((x1)**(0.5)))),[div x1 sin sqrt x1]
6,6,0.8075141310691833,0.2234316078806235,0.9431804955318772,(x1/sin(((((x1)**(0.5)))**(0.5)))),[div x1 sin sqrt sqrt x1]
7,7,0.8153457641601562,0.2122820852761439,0.9487097388427714,(sin(x1)/cos(((((x1)**(0.5)))**(0.5)))),[div sin x1 cos sqrt sqrt x1]
8,8,0.8203478455543518,0.2052722666178574,0.9520411483256697,(sin(x1)+(cos(x1)*sin(x1))),[add sin x1 mul cos x1 sin x1]
9,9,0.8255367279052734,0.19809043411241056,0.9553383022987696,((((sin(x1))**(0.5))+cos(x1))*sin(x1)),[mul add sqrt sin x1 cos x1 sin x1]
10,10,0.8338140845298767,0.18681892853352,0.9602762743284912,(sin(x1)+(cos(((((((x1)**(0.5)))**(0.5)))**(0.5)))*x1)),[add sin x1 mul cos sqrt sqrt sqrt x1 x1]
15,15,0.8494791388511658,0.16608861597345928,0.9686030145024345,(sin((x1/((x1)**(0.5))))+(((x1)**(0.5))*(cos((x2/x1))*x1))),[add sin div x1 sqrt x1 mul sqrt x1 mul cos div x2 x1 x1]
17,17,0.872973620891571,0.13639193412709594,0.9788268440562455,((x1*(cos(x1)*(((cos(x2)+(x1-x1))-x1)+x1)))+x1),[add mul x1 mul cos x1 add sub add cos x2 sub x1 x1 x1 x1 x1]
19,19,0.8770015239715576,0.13146049776387436,0.9803302534072516,((((((((cos(x2)+cos(x2))*x2)*x1)*x1)/x1)/x1)/x2)*x1),[mul div div div mul mul mul add cos x2 cos x2 x2 x1 x1 x1 x1 x2 x1]
